dataset,n,partitioner,method,block_formula,block_size,r2,time_s,xgb_r2,xgb_time_s,r2_delta,speed_ratio
california,20000,hvrt,variance_ordered,tenth,2000.0,0.75126,1.013,0.78407,0.714,-0.03282,1.42
california,20000,hvrt,variance_ordered,fifth,4000.0,0.7546,1.718,0.78407,0.714,-0.02948,2.41
california,20000,hvrt,variance_ordered,none,,0.75693,3.256,0.78407,0.714,-0.02714,4.56
california,50000,pyramid_hart,variance_ordered,current,1400.0,0.74971,1.182,0.79543,0.85,-0.04571,1.39
california,50000,pyramid_hart,variance_ordered,sqrt,2236.0,0.75563,1.476,0.79543,0.85,-0.0398,1.74
california,50000,pyramid_hart,variance_ordered,log,3203.0,0.75863,1.858,0.79543,0.85,-0.0368,2.19
california,50000,pyramid_hart,variance_ordered,tenth,5000.0,0.75789,2.316,0.79543,0.85,-0.03754,2.73
california,50000,pyramid_hart,variance_ordered,fifth,10000.0,0.75908,4.184,0.79543,0.85,-0.03635,4.92
california,50000,pyramid_hart,variance_ordered,none,,0.759,8.954,0.79543,0.85,-0.03643,10.54
california,50000,hvrt,variance_ordered,current,1400.0,0.7491,1.261,0.79543,0.85,-0.04633,1.48
california,50000,hvrt,variance_ordered,sqrt,2236.0,0.75788,1.604,0.79543,0.85,-0.03755,1.89
california,50000,hvrt,variance_ordered,log,3203.0,0.75841,1.962,0.79543,0.85,-0.03701,2.31
california,50000,hvrt,variance_ordered,tenth,5000.0,0.7583,2.356,0.79543,0.85,-0.03713,2.77
california,50000,hvrt,variance_ordered,fifth,10000.0,0.75876,4.174,0.79543,0.85,-0.03667,4.91
california,50000,hvrt,variance_ordered,none,,0.75894,8.703,0.79543,0.85,-0.03648,10.24
