dataset,n,refit_interval,coeff,block_size,coverage,r2,time_s,xgb_r2,xgb_time_s,r2_delta,speed_ratio
linreg_20d,100000,100,15,4743,0.237,0.902,3.22,0.898,1.525,0.00399,2.11
linreg_20d,100000,100,25,7905,0.395,0.90103,4.14,0.898,1.525,0.00303,2.71
linreg_20d,100000,100,40,12649,0.632,0.8982,5.419,0.898,1.525,0.0002,3.55
linreg_20d,100000,200,10,3162,0.063,0.8966,2.238,0.898,1.525,-0.0014,1.47
linreg_20d,100000,200,15,4743,0.095,0.89779,2.857,0.898,1.525,-0.00021,1.87
linreg_20d,100000,200,25,7905,0.158,0.89776,3.496,0.898,1.525,-0.00024,2.29
linreg_20d,100000,200,40,12649,0.253,0.89678,4.797,0.898,1.525,-0.00123,3.15
reg_10d,20000,25,10,2000,1.0,0.97195,1.521,0.97035,0.599,0.0016,2.54
reg_10d,20000,25,15,2121,1.0,0.97207,1.575,0.97035,0.599,0.00172,2.63
reg_10d,20000,25,25,3535,1.0,0.97148,2.956,0.97035,0.599,0.00113,4.93
reg_10d,20000,25,40,5656,1.0,0.97103,3.746,0.97035,0.599,0.00068,6.25
reg_10d,20000,50,10,2000,1.0,0.97116,1.018,0.97035,0.599,0.00081,1.7
reg_10d,20000,50,15,2121,1.0,0.97164,0.889,0.97035,0.599,0.00129,1.48
reg_10d,20000,50,25,3535,1.0,0.97112,1.443,0.97035,0.599,0.00077,2.41
reg_10d,20000,50,40,5656,1.0,0.97095,2.249,0.97035,0.599,0.0006,3.75
reg_10d,20000,100,10,2000,0.5,0.97014,0.719,0.97035,0.599,-0.00021,1.2
reg_10d,20000,100,15,2121,0.53,0.97054,0.659,0.97035,0.599,0.00019,1.1
reg_10d,20000,100,25,3535,0.884,0.97036,1.02,0.97035,0.599,1e-05,1.7
reg_10d,20000,100,40,5656,1.0,0.9696,1.487,0.97035,0.599,-0.00075,2.48
reg_10d,20000,200,10,2000,0.2,0.96802,0.532,0.97035,0.599,-0.00233,0.89
reg_10d,20000,200,15,2121,0.212,0.96818,0.566,0.97035,0.599,-0.00217,0.94
reg_10d,20000,200,25,3535,0.353,0.96921,0.831,0.97035,0.599,-0.00113,1.39
reg_10d,20000,200,40,5656,0.566,0.96932,1.133,0.97035,0.599,-0.00103,1.89
reg_10d,50000,25,10,2236,0.894,0.97396,2.148,0.97541,1.344,-0.00145,1.6
reg_10d,50000,25,15,3354,1.0,0.97396,2.723,0.97541,1.344,-0.00145,2.03
reg_10d,50000,25,25,5590,1.0,0.97292,4.19,0.97541,1.344,-0.00249,3.12
reg_10d,50000,25,40,8944,1.0,0.97252,6.64,0.97541,1.344,-0.00289,4.94
reg_10d,50000,50,10,2236,0.447,0.97363,1.486,0.97541,1.344,-0.00178,1.11
reg_10d,50000,50,15,3354,0.671,0.97324,1.949,0.97541,1.344,-0.00217,1.45
reg_10d,50000,50,25,5590,1.0,0.97297,2.862,0.97541,1.344,-0.00245,2.13
reg_10d,50000,50,40,8944,1.0,0.97211,4.121,0.97541,1.344,-0.0033,3.07
reg_10d,50000,100,10,2236,0.224,0.97184,1.147,0.97541,1.344,-0.00357,0.85
reg_10d,50000,100,15,3354,0.335,0.97229,1.346,0.97541,1.344,-0.00312,1.0
reg_10d,50000,100,25,5590,0.559,0.97251,1.893,0.97541,1.344,-0.0029,1.41
reg_10d,50000,100,40,8944,0.894,0.97199,2.562,0.97541,1.344,-0.00342,1.91
